time,time_s,H_axis_near,H_axis_near_raw,H_axis_near_min,H_center_region,H_center_region_raw,H_center_region_min,H_robust_main_interface,H_raw_global,axis_interface_points_count,center_interface_points_count,number_of_interface_components,main_component_length,axis_component_length,center_component_length,pseudo_spike_flag,near_top_flag,late_time_flag,cavity_or_rebound_proxy_m,H_m,H_mm
0.001,0.001,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194331e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0011,0.0011,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.124417244918381e-05,8.474977502194334e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0012000000000000001,0.0012000000000000001,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0013000000000000002,0.0013000000000000002,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0014,0.0014,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0015,0.0015,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0016,0.0016,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0017000000000000001,0.0017000000000000001,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.124417244918381e-05,8.474977502194334e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0018000000000000002,0.0018000000000000002,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888122e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0019,0.0019,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.002,0.002,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,8.12441724491838e-05,8.474977502194332e-05,0,2,2,0.00794246972682629,0.0,0.0010520470055726296,False,False,False,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
