case_id,inner_solution,time_s,interface_points,max_interface_z_m,H_m,H_mm,near_top
F_V1em3,1,0.0,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,2,0.0001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,3,0.0002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,4,0.00030000000000000003,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,5,0.0004,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,6,0.0005,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,7,0.0006000000000000001,11,8.474977502194334e-05,8.474977502194334e-05,0.08474977502194334,False
F_V1em3,8,0.0007,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,9,0.0008,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,10,0.0009000000000000001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,11,0.001,11,8.474977502194334e-05,8.474977502194334e-05,0.08474977502194334,False
F_V1em3,12,0.0011,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,13,0.0012000000000000001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,14,0.0013000000000000002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,15,0.0014,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,16,0.0015,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,17,0.0016,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,18,0.0017000000000000001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,19,0.0018000000000000002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,20,0.0019,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
F_V1em3,21,0.002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
