requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
50	0.19625	49.9166666667	interface-000196250us.dat	4.71316028141	3.38869924891	3.97405842176	1.17273860259	2.93105528155	3.54545171536	0.82670855983	2	2
50.5	0.19675	50.4166666667	interface-000196750us.dat	4.77084690953	3.38236470236	3.99281871023	1.18048142693	2.75896054559	3.51927391621	0.783957319401	5	2
51	0.19725	50.9166666667	interface-000197250us.dat	4.83104174917	3.37612214369	3.92091805798	1.16136735909	3.2818670413	3.49448895359	0.939155076719	3	2
51.5	0.19775	51.4166666667	interface-000197750us.dat	4.89181719139	3.37221327913	3.90174700026	1.15702853803	3.44111532632	3.47230027596	0.991018936392	3	2
52	0.19825	51.9166666667	interface-000198250us.dat	4.95274140254	3.36855482353	3.90218323492	1.15841464347	3.29820350645	3.45265074078	0.955267055394	2	2
52.5	0.19875	52.4166666667	interface-000198750us.dat	5.01498037788	3.36591101108	3.89741184074	1.15790697612	3.31712728003	3.48293534125	0.952394160391	2	2
53	0.19925	52.9166666667	interface-000199250us.dat	5.07688779279	3.36493294649	3.88547892631	1.15469728167	3.18412838685	3.46394492764	0.919220268613	3	2
53.5	0.19975	53.4166666667	interface-000199750us.dat	5.13723721858	3.36581002105	3.8671044812	1.14893724156	3.31649925209	3.44814372931	0.961821638668	3	2
54	0.20025	53.9166666667	interface-000200250us.dat	5.19818511348	3.36826218787	3.84518760707	1.14159391182	3.50135050329	3.43578130814	1.01908421674	1	2
54.5	0.20075	54.4166666667	interface-000200750us.dat	5.25871939799	3.3724979847	3.82107309551	1.13300974911	3.37375418071	3.42559007114	0.98486804044	1	2
55	0.20125	54.9166666667	interface-000201250us.dat	5.31858286117	3.37690928816	3.79797893981	1.12469083879	3.4114993367	3.41855031987	0.99793743473	3	2
55.5	0.20175	55.4166666667	interface-000201750us.dat	5.37803731686	3.38251754499	3.80008224444	1.12344790349	3.19728658771	3.41312935004	0.936761036519	3	2
56	0.20225	55.9166666667	interface-000202250us.dat	5.43694669878	3.38747222905	3.80185630138	1.12232840428	3.43627549599	3.40946985161	1.00786211509	4	2
56.5	0.20275	56.4166666667	interface-000202750us.dat	5.49506756069	3.39183596685	3.8037675565	1.12144796909	3.45166723033	3.40685911699	1.01315232353	3	2
57	0.20325	56.9166666667	interface-000203250us.dat	5.55315950779	3.39476432838	3.80003074316	1.11937983777	3.70311775126	3.40539963745	1.08742530848	2	2
57.5	0.20375	57.4166666667	interface-000203750us.dat	5.61137961439	3.39524541253	3.79235886133	1.11696163327	3.69607612924	3.40612447405	1.08512655876	2	2
